Sample Name,Source Well,Source Plate Barcode,Starting Concentration,Concentration Range
CBP-0064779-03,O12,B004,0,A
CBP-0064785-02,O9,B004,0,A
CBP-0064786-02,D2,B004,0,A
CBP-0064788-02,D6,B004,0,A
CBP-0064790-02,F1,B004,0,A
CBP-0064801-02,K11,B004,0,A
CBP-0064804-02,J7,B004,0,A
CBP-0064805-02,B8,B004,0,A
CBP-0064807-02,L9,B004,0,A
CBP-0064819-02,P7,B004,0,A
CBP-0064822-02,L14,B004,0,A
CBP-0064825-02,D16,B004,0,A
CBP-0064832-02,H9,B004,0,A
CBP-0064834-02,H11,B004,0,A
CBP-0064842-02,I12,B004,0,A
CBP-0064900-02,E15,B004,0,A
CBP-0064951-02,F12,B004,0,A
CBP-0065342-02,F14,B004,0,A
CBP-0066197-02,E4,B004,0,A
CBP-0066390-02,O4,B004,0,A
CBP-0066393-02,K1,B004,0,A
CBP-0066395-02,B1,B004,0,A
CBP-0066398-02,H6,B004,0,A
CBP-0066413-02,K2,B004,0,A
CBP-0066415-02,K15,B004,0,A
CBP-0066426-02,H2,B004,0,A
CBP-0066427-02,E12,B004,0,A
CBP-0066437-02,P14,B004,0,A
CBP-0066437-03,F21,B004,0,A
CBP-0066513-01,I2,B004,0,A
CBP-0066514-01,K3,B004,0,A
CBP-0066515-01,E3,B004,0,A
CBP-0066516-01,M5,B004,0,A
CBP-0066517-01,J3,B004,0,A
CBP-0066518-01,D1,B004,0,A
CBP-0066519-01,D4,B004,0,A
CBP-0066520-01,N2,B004,0,A
CBP-0066521-01,P1,B004,0,A
CBP-0066522-01,P2,B004,0,A
CBP-0066523-01,H4,B004,0,A
CBP-0066524-01,I6,B004,0,A
CBP-0066525-01,I7,B004,0,A
CBP-0066526-01,A8,B004,0,A
CBP-0066527-01,A9,B004,0,A
CBP-0066528-01,A10,B004,0,A
CBP-0066529-01,I10,B004,0,A
CBP-0066530-01,A11,B004,0,A
CBP-0066531-01,C7,B004,0,A
CBP-0066532-01,K7,B004,0,A
CBP-0066533-01,E10,B004,0,A
CBP-0066534-01,E11,B004,0,A
CBP-0066535-01,M11,B004,0,A
CBP-0066536-01,O7,B004,0,A
CBP-0066537-01,G8,B004,0,A
CBP-0066538-01,G11,B004,0,A
CBP-0066539-01,J11,B004,0,A
CBP-0066540-01,L6,B004,0,A
CBP-0066541-01,D7,B004,0,A
CBP-0066542-01,L7,B004,0,A
CBP-0066543-01,D9,B004,0,A
CBP-0066544-01,L10,B004,0,A
CBP-0066545-01,F7,B004,0,A
CBP-0066546-01,F8,B004,0,A
CBP-0066547-01,H8,B004,0,A
CBP-0066548-01,P8,B004,0,A
CBP-0066549-01,H10,B004,0,A
CBP-0066550-01,A12,B004,0,A
CBP-0066551-01,A13,B004,0,A
CBP-0066552-01,I13,B004,0,A
CBP-0066553-01,I14,B004,0,A
CBP-0066554-01,C12,B004,0,A
CBP-0066555-01,C15,B004,0,A
CBP-0066556-01,M16,B004,0,A
CBP-0066557-01,G15,B004,0,A
CBP-0066558-01,O15,B004,0,A
CBP-0066559-01,G16,B004,0,A
CBP-0066560-01,G17,B004,0,A
CBP-0066561-01,B12,B004,0,A
CBP-0066562-01,J13,B004,0,A
CBP-0066563-01,J14,B004,0,A
CBP-0066564-01,B15,B004,0,A
CBP-0066565-01,D12,B004,0,A
CBP-0066566-01,L12,B004,0,A
CBP-0066567-01,D13,B004,0,A
CBP-0066568-01,N14,B004,0,A
CBP-0066569-01,P15,B004,0,A
CBP-0066570-01,I17,B004,0,A
CBP-0066571-01,A19,B004,0,A
CBP-0066572-01,K18,B004,0,A
